StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q20,resentment1_control,resentment2_control,resentment3_control,resentment4_control,resentment_control_Same,resentment1_men,resentment2_men,resentment3_men,resentment4_men,resentment_men_Same,resentment1_women,resentment2_women,resentment3_women,resentment4_women,resentment_women_Same,resentment1_lgbt,resentment2_lgbt,resentment3_lgbt,resentment4_lgbt,resentment_lgbt_Same,attention_check,sexism1_control,sexism2_control,sexism3_control,sexism4_control,sexism5_control,sexism_control_Same,sexism1_white,sexism2_white,sexism3_white,sexism4_white,sexism5_white,sexism_white_Same,sexism1_black,sexism2_black,sexism3_black,sexism4_black,sexism5_black,sexism_black_Same,sexism1_lgbt,sexism2_lgbt,sexism3_lgbt,sexism4_lgbt,sexism5_lgbt,sexism_lgbt_Same,manip_check,ideology,sexual_orientation,gender,religion,italian,rid,age,gender,hhi,ethnicity,hispanic,education,political_party,region,zip,question_order,resentment_treat,sexism_treat
2020-07-01 13:29:45,2020-07-01 13:34:13,IP Address,*******,100,267,True,2020-07-01 13:34:14,R_3nd7cl79xl6allW,*******,*******,*******,*******,*******,*******,anonymous,EN,I would like to participate,,,,,FALSE,,,,,FALSE,Neither agree nor disagree,Somewhat agree,Agree,Somewhat agree,FALSE,,,,,FALSE,"Strongly Agree,Strongly disagree",,,,,,FALSE,,,,,,FALSE,Strongly disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Agree,FALSE,,,,,,FALSE,"Black women,Women",Conservative,Bisexual or pansexual,Man,Nothing in particular,Yes,5efce40a-4180-9910-a52b-b94432557af2,79,1,4,1,1,4,1,4,95354,0,2,2
2020-07-01 13:30:07,2020-07-01 13:34:15,IP Address,*******,100,247,True,2020-07-01 13:34:15,R_21ak0nP4txcyCXy,*******,*******,*******,*******,*******,*******,anonymous,EN,I would like to participate,,,,,FALSE,,,,,FALSE,,,,,FALSE,Agree,Agree,Agree,Agree,TRUE,"Strongly Agree,Agree",,,,,,FALSE,Disagree,Strongly disagree,Strongly agree,Agree,Strongly agree,FALSE,,,,,,FALSE,,,,,,FALSE,White women,Extremely liberal,Heterosexual,Man,Other,No,5efce405-43e7-c3bc-80f2-834e9e31779b,42,1,19,1,1,7,10,3,28056,0,3,1
2020-07-01 13:30:17,2020-07-01 13:35:44,IP Address,*******,100,327,True,2020-07-01 13:35:44,R_2CgfS4Lxhdaz1N8,*******,*******,*******,*******,*******,*******,anonymous,EN,I would like to participate,,,,,FALSE,Agree,Agree,Strongly agree,Somewhat disagree,FALSE,,,,,FALSE,,,,,FALSE,"Strongly Agree,Strongly disagree",,,,,,FALSE,,,,,,FALSE,Disagree,Strongly agree,Somewhat disagree,Agree,Somewhat disagree,FALSE,,,,,,FALSE,"Black men,Black women",Extremely conservative,Bisexual or pansexual,Man,Buddhist,No,5efce421-70ee-a425-1a40-3f798e393efd,42,1,22,1,1,7,1,3,20037,1,1,2
2020-07-01 13:33:43,2020-07-01 13:35:55,IP Address,*******,100,132,True,2020-07-01 13:35:55,R_TjEdKiS8UaxNLe9,*******,*******,*******,*******,*******,*******,anonymous,EN,I would like to participate,,,,,FALSE,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,FALSE,,,,,FALSE,,,,,FALSE,"Strongly Agree,Strongly disagree",,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,Neither agree nor disagree,Somewhat agree,Agree,Somewhat agree,Somewhat agree,FALSE,Black men,Moderate or middle of the road,Heterosexual,Woman,Protestant,No,5efce4fa-c74e-a902-b807-e402e610795b,86,2,6,1,1,4,10,1,4071,1,1,3
2020-07-01 13:37:28,2020-07-01 13:39:00,IP Address,*******,100,91,True,2020-07-01 13:39:00,R_2Wupka7fGYhCfZM,*******,*******,*******,*******,*******,*******,anonymous,EN,I would like to participate,,,,,FALSE,Strongly agree,Disagree,Somewhat disagree,Strongly agree,FALSE,,,,,FALSE,,,,,FALSE,"Strongly Agree,Strongly disagree",,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,Somewhat disagree,Somewhat disagree,Strongly agree,Strongly agree,Somewhat agree,FALSE,"Lesbian, bisexual, and trans gender women",Moderate or middle of the road,Heterosexual,Woman,Protestant,No,5efce5de-154c-290e-ecd1-fb688df93280,71,2,1,1,1,4,10,3,27041,0,1,3
2020-07-01 13:42:31,2020-07-01 13:42:58,IP Address,*******,100,27,True,2020-07-01 13:42:58,R_31GwyvNrNmeaq9p,*******,*******,*******,*******,*******,*******,anonymous,EN,I would like to participate,,,,,FALSE,,,,,FALSE,,,,,FALSE,,,,,FALSE,Agree,,,,,,FALSE,,,,,,FALSE,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,FALSE,,,,,,FALSE,,,,,,,5efce71f-860f-88c5-8fba-aff5d3aef8be,20,1,14,3,12,6,1,2,48228,1,2,2
2020-07-01 13:42:47,2020-07-01 13:43:33,IP Address,*******,100,45,True,2020-07-01 13:43:33,R_2WMh50ipvyMvECx,*******,*******,*******,*******,*******,*******,anonymous,EN,I would like to participate,,,,,FALSE,Strongly agree,Strongly agree,Strongly agree,Strongly agree,TRUE,,,,,FALSE,,,,,FALSE,Strongly Agree,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,,,,5efce71a-3b78-6263-7d66-36e5706d06e7,42,1,20,1,1,7,10,3,30314,0,1,0
2020-07-01 13:42:54,2020-07-01 13:43:40,IP Address,*******,100,46,True,2020-07-01 13:43:40,R_3MM44r7a89nU9b2,*******,*******,*******,*******,*******,*******,anonymous,EN,I would like to participate,,,,,FALSE,,,,,FALSE,,,,,FALSE,,,,,FALSE,Strongly Agree,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,FALSE,,,,,,,5efce72d-5d84-1842-5196-6e5ecd96f3d3,40,1,19,1,1,7,10,1,11201,1,3,3
2020-07-01 13:43:23,2020-07-01 13:43:49,IP Address,*******,100,26,True,2020-07-01 13:43:50,R_1FCYNGVJU5kpC3W,*******,*******,*******,*******,*******,*******,anonymous,EN,I would like to participate,,,,,FALSE,,,,,FALSE,Strongly agree,Strongly agree,Strongly agree,Strongly agree,TRUE,,,,,FALSE,Strongly Agree,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,,,,5efce728-d96f-d4b2-f8ea-0323d22124b0,49,1,24,1,1,7,10,3,29532,0,2,1
2020-07-01 13:43:08,2020-07-01 13:43:50,IP Address,*******,100,42,True,2020-07-01 13:43:51,R_3dXuBOKsN691zBN,*******,*******,*******,*******,*******,*******,anonymous,EN,I would like to participate,,,,,FALSE,,,,,FALSE,Strongly agree,Somewhat agree,Strongly agree,Agree,FALSE,,,,,FALSE,Somewhat disagree,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,,,,5efce73a-f5c4-db3a-0443-0c2bbd421e48,40,1,21,1,1,7,1,1,15218,0,2,1
2020-07-01 13:42:23,2020-07-01 13:44:00,IP Address,*******,100,96,True,2020-07-01 13:44:00,R_24BExrAmFZ8gL78,*******,*******,*******,*******,*******,*******,anonymous,EN,I would like to participate,,,,,FALSE,Strongly agree,Strongly agree,Disagree,Strongly agree,FALSE,,,,,FALSE,,,,,FALSE,"Strongly Agree,Strongly disagree",,,,,,FALSE,,,,,,FALSE,Agree,Strongly agree,Strongly agree,Disagree,Strongly agree,FALSE,,,,,,FALSE,"Black men,Black women",Conservative,Heterosexual,Woman,Protestant,Yes,5efce6f7-d096-c177-1914-47938f5dc5cf,62,2,3,1,1,3,1,4,95973,1,1,2
2020-07-01 13:43:03,2020-07-01 13:44:29,IP Address,*******,100,86,True,2020-07-01 13:44:29,R_125dikV0hTCFzbl,*******,*******,*******,*******,*******,*******,anonymous,EN,I would like to participate,,,,,FALSE,Strongly disagree,Agree,Agree,Strongly disagree,FALSE,,,,,FALSE,,,,,FALSE,"Strongly Agree,Strongly disagree",Strongly disagree,Strongly agree,Disagree,Strongly disagree,Strongly agree,FALSE,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,"Black men,Women",Moderate or middle of the road,Heterosexual,Woman,Protestant,No,5efce731-f23d-d58a-07ef-cb5d2ed22b11,57,2,18,7,1,"6,5",1,4,90247,1,1,0
2020-07-01 13:43:06,2020-07-01 13:44:52,IP Address,*******,100,106,True,2020-07-01 13:44:52,R_2v2DTBM1kw4xUo1,*******,*******,*******,*******,*******,*******,anonymous,EN,I would like to participate,,,,,FALSE,,,,,FALSE,,,,,FALSE,,,,,FALSE,Strongly disagree,,,,,,FALSE,Agree,Somewhat disagree,Strongly agree,Somewhat disagree,Somewhat agree,FALSE,,,,,,FALSE,,,,,,FALSE,,,,,,,5efce71c-da37-e9d3-e75e-58b662e34e64,41,1,11,1,1,6,10,1,11222,1,0,1
2020-07-01 13:42:52,2020-07-01 13:45:01,IP Address,*******,100,128,True,2020-07-01 13:45:01,R_1nSDHcbjZ1XHAoF,*******,*******,*******,*******,*******,*******,anonymous,EN,I would like to participate,,,,,FALSE,Agree,Disagree,Neither agree nor disagree,Somewhat agree,FALSE,,,,,FALSE,,,,,FALSE,"Strongly Agree,Strongly disagree",,,,,,FALSE,Disagree,Somewhat agree,Somewhat agree,Agree,Agree,FALSE,,,,,,FALSE,,,,,,FALSE,"Black men,White women",Slightly liberal,Gay or lesbian,Man,Protestant,No,5efce723-e326-50f4-657e-3792275d78cf,56,1,9,1,1,4,9,3,33305,0,1,1
2020-07-01 13:43:43,2020-07-01 13:45:15,IP Address,*******,100,91,True,2020-07-01 13:45:16,R_2vY68UwnJDZgPwg,*******,*******,*******,*******,*******,*******,anonymous,EN,I would like to participate,,,,,FALSE,Strongly agree,Strongly agree,Strongly agree,Strongly agree,TRUE,,,,,FALSE,,,,,FALSE,Strongly Agree,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,,,,5efce74a-6ac3-1745-5b2f-2c25089a4af0,41,1,18,1,1,7,10,3,78748,0,1,3
2020-07-01 13:42:28,2020-07-01 13:46:19,IP Address,*******,100,230,True,2020-07-01 13:46:19,R_2wNp5pX1TxLUbmJ,*******,*******,*******,*******,*******,*******,anonymous,EN,I would like to participate,,,,,FALSE,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,FALSE,,,,,FALSE,,,,,FALSE,"Strongly Agree,Strongly disagree",Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,FALSE,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,"Black people,Black men,Black women,Women,White women",Liberal,Gay or lesbian,Man,Nothing in particular,No,5efce704-cbd1-124e-00ed-3b8757d66f0e,63,1,1,1,1,6,1,4,98122,1,1,0
2020-07-01 13:43:02,2020-07-01 13:46:27,IP Address,*******,100,205,True,2020-07-01 13:46:28,R_2dEk5F2QgrydlDh,*******,*******,*******,*******,*******,*******,anonymous,EN,I would like to participate,,,,,FALSE,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,FALSE,,,,,FALSE,,,,,FALSE,"Strongly Agree,Neither agree nor disagree",,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,FALSE,"Black men,Women,Lesbian, bisexual, and trans gender women",Slightly conservative,Heterosexual,Woman,Nothing in particular,Yes,5efce720-1ba5-1680-9ee2-7b2bea9e868c,52,2,-3105,1,1,6,9,4,85705,1,1,3
2020-07-01 13:43:33,2020-07-01 13:47:18,IP Address,*******,100,224,True,2020-07-01 13:47:18,R_2YtvCYOaoVTHd4A,*******,*******,*******,*******,*******,*******,anonymous,EN,I would like to participate,,,,,FALSE,,,,,FALSE,Agree,Somewhat disagree,Somewhat disagree,Somewhat agree,FALSE,,,,,FALSE,"Strongly Agree,Strongly disagree",,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,FALSE,"Black women,Lesbian, bisexual, and trans gender women",Conservative,Heterosexual,Man,Protestant,No,5efce754-a0ce-abbb-847a-9774987b8d3a,77,1,12,1,1,8,10,3,79370,0,2,3
2020-07-01 13:44:17,2020-07-01 13:48:27,IP Address,*******,100,250,True,2020-07-01 13:48:27,R_8D18hbjxo1Bo7Xr,*******,*******,*******,*******,*******,*******,anonymous,EN,I would like to participate,Agree,Agree,Agree,Agree,TRUE,,,,,FALSE,,,,,FALSE,,,,,FALSE,Strongly Agree,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,,,,5efce76f-f6cb-9eb0-3979-d3a70f332477,40,1,21,1,1,7,1,3,29582,0,0,2
2020-07-01 13:42:41,2020-07-01 13:48:50,IP Address,*******,100,368,True,2020-07-01 13:48:50,R_A1JPk0L687btAsN,*******,*******,*******,*******,*******,*******,anonymous,EN,I would like to participate,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,FALSE,,,,,FALSE,,,,,FALSE,,,,,FALSE,"Strongly Agree,Strongly disagree",,,,,,FALSE,,,,,,FALSE,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Agree,FALSE,,,,,,FALSE,"Black people,Black men,Black women",Moderate or middle of the road,Bisexual or pansexual,Woman,Nothing in particular,No,5efce717-ff49-b9f2-716f-213f80e2ac56,34,2,1,15,1,4,1,2,44035,1,0,2
2020-07-01 13:44:04,2020-07-01 13:49:57,IP Address,*******,100,353,True,2020-07-01 13:49:57,R_1CIrQxr9Mdl7LhP,*******,*******,*******,*******,*******,*******,anonymous,EN,I would like to participate,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,FALSE,,,,,FALSE,,,,,FALSE,,,,,FALSE,"Strongly Agree,Strongly disagree",Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,FALSE,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,Black people,Extremely liberal,Heterosexual,Man,Other,No,5efce753-19d5-06fa-a160-f43dee3f39ca,40,1,23,1,1,7,10,2,60657,0,0,0
2020-07-01 13:51:31,2020-07-01 13:51:34,IP Address,*******,100,3,True,2020-07-01 13:51:35,R_bCvsG5RjuaZn2U1,*******,*******,*******,*******,*******,*******,anonymous,EN,I do not want to participate,,,,,FALSE,,,,,FALSE,,,,,FALSE,,,,,FALSE,,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,,,,5efce928-8e9c-743d-1e0d-2117e44523af,24,2,1,1,15,2,1,2,53520,1,0,3
2020-07-01 13:51:22,2020-07-01 13:51:39,IP Address,*******,100,16,True,2020-07-01 13:51:39,R_xDSHPDF8IcVXt3b,*******,*******,*******,*******,*******,*******,anonymous,EN,I would like to participate,,,,,FALSE,Strongly agree,Disagree,Agree,Neither agree nor disagree,FALSE,,,,,FALSE,,,,,FALSE,Strongly Agree,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,,,,5efce929-7b35-6fd3-647d-d7f3ba7757be,20,2,3,15,2,4,7,2,48060,0,1,0
